,id,host_since,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_verifications,host_identity_verified,city,latitude,longitude,is_location_exact,room_type,accommodates,bathrooms,bedrooms,beds,price,weekly_discount_percentage,monthly_discount_percentage,security_deposit_ratio_to_price,cleaning_fee_ratio_to_price,guests_included,extra_people,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,requires_license,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,reviews_per_month,AMN_24-hour check-in,AMN_air conditioning,AMN_breakfast,AMN_buzzer/wireless intercom,AMN_cable tv,AMN_carbon monoxide detector,AMN_cat(s),AMN_dog(s),AMN_doorman,AMN_dryer,AMN_elevator in building,AMN_essentials,AMN_family/kid friendly,AMN_fire extinguisher,AMN_first aid kit,AMN_free parking on premises,AMN_gym,AMN_hair dryer,AMN_hangers,AMN_heating,AMN_hot tub,AMN_indoor fireplace,AMN_internet,AMN_iron,AMN_kitchen,AMN_laptop friendly workspace,AMN_lock on bedroom door,AMN_other pet(s),AMN_pets allowed,AMN_pets live on this property,AMN_pool,AMN_safety card,AMN_shampoo,AMN_smoke detector,AMN_smoking allowed,AMN_suitable for events,AMN_translation missing: en.hosting_amenity_49,AMN_translation missing: en.hosting_amenity_50,AMN_tv,AMN_washer,AMN_wheelchair accessible,AMN_wireless internet,BED=Airbed,BED=Couch,BED=Futon,BED=Pull-out Sofa,BED=Real Bed,POPTY=Apartment,POPTY=Bed & Breakfast,POPTY=Bungalow,POPTY=Cabin,POPTY=Camper/RV,POPTY=Chalet,POPTY=Condominium,POPTY=Dorm,POPTY=Earth House,POPTY=House,POPTY=Loft,POPTY=Other,POPTY=Tent,POPTY=Townhouse,POPTY=Treehouse,POPTY=Villa,POPTY=Yurt
0,665257,2012-06-10,100%,,f,1,1,"['email', 'phone', 'facebook', 'reviews', 'kba']",t,Asheville,35.5907836634,-82.59146637,t,3,2,1.0,1.0,1.0,105.0,0.115646258503,0.493650793651,0.952380952381,0.142857142857,2,$10.00,7,120,0,21,51,326,47,2012-09-04,2015-08-05,9.6,10.0,9.0,10.0,10.0,9.0,10.0,f,f,2,f,f,1.06,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,2746729,2012-12-01,100%,84%,t,5,5,"['email', 'phone', 'reviews', 'jumio', 'kba']",t,Asheville,35.584967909,-82.6321989964,f,3,4,1.0,1.0,2.0,125.0,0.0,0.0,0.0,0.32,2,$0.00,2,1125,17,36,57,228,65,2014-04-28,2016-03-29,9.6,9.0,10.0,10.0,10.0,9.0,9.0,f,f,3,f,f,2.69,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,156926,2011-06-26,100%,68%,f,6,6,"['email', 'phone', 'facebook', 'reviews']",f,Asheville,35.5777553359,-82.5949955466,t,1,6,2.5,1.0,6.0,24.0,0.0,0.0,0.0,0.0,1,$24.00,1,7,25,49,78,353,114,2011-09-01,2016-04-07,9.3,9.0,9.0,10.0,9.0,9.0,10.0,f,f,2,f,f,2.02,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,3767793,2013-10-12,100%,73%,f,3,3,"['email', 'phone', 'facebook', 'reviews', 'kba']",t,Asheville,35.6359530668,-82.6493975063,t,3,10,2.5,4.0,5.0,105.0,-1.10884353741,-0.238095238095,2.38095238095,1.42857142857,4,$12.00,2,180,17,41,67,337,24,2014-08-04,2016-03-25,7.8,8.0,8.0,9.0,9.0,8.0,8.0,f,f,3,f,f,1.15,1,1,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6,5927700,2015-02-12,100%,100%,f,1,1,"['email', 'phone', 'facebook', 'reviews', 'jumio']",t,Asheville,35.589878459,-82.585800237,t,2,2,1.0,1.0,1.0,65.0,0.120879120879,0.0,1.53846153846,0.0,2,$15.00,1,1125,16,42,68,339,98,2015-04-19,2016-04-15,9.3,10.0,10.0,10.0,10.0,9.0,9.0,f,t,1,f,f,7.95,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7,6698737,2015-03-19,100%,96%,t,1,1,"['email', 'phone', 'reviews', 'kba']",t,Asheville,35.5755056736,-82.5931418789,t,2,2,1.0,1.0,1.0,75.0,0.047619047619,0.216,0.0,0.0666666666667,1,$0.00,1,1125,10,35,62,337,50,2015-06-07,2016-04-17,9.8,10.0,10.0,10.0,10.0,10.0,10.0,f,t,2,f,f,4.67,1,1,1,0,0,1,1,0,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,7966916,2014-04-24,100%,100%,t,1,1,"['email', 'phone', 'facebook', 'google', 'reviews', 'kba']",t,Asheville,35.5716934603,-82.5884632783,t,2,3,1.0,1.0,2.0,75.0,-0.0857142857143,0.0,0.0,0.2,2,$20.00,2,7,7,22,39,109,30,2015-10-05,2016-04-17,9.9,10.0,10.0,10.0,10.0,10.0,10.0,f,t,2,f,f,4.48,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9,2254521,2011-04-30,100%,100%,f,1,1,"['email', 'phone', 'facebook', 'reviews', 'kba']",t,Asheville,35.5689284164,-82.5683417857,t,2,2,1.0,1.0,1.0,65.0,0.340659340659,0.641025641026,0.0,0.153846153846,1,$15.00,1,1125,0,14,27,262,16,2014-02-16,2016-01-30,9.4,10.0,9.0,10.0,10.0,10.0,9.0,f,f,3,f,f,0.6,0,0,1,0,0,1,1,0,0,1,0,1,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,11392366,2011-10-21,94%,78%,f,1,1,"['email', 'phone', 'facebook', 'google', 'reviews', 'jumio']",t,Asheville,35.5759158338,-82.5717373178,t,2,1,1.0,1.0,1.0,45.0,0.0,0.0,0.0,0.0,1,$0.00,1,7,27,57,87,87,9,2016-03-07,2016-04-17,9.5,10.0,10.0,10.0,10.0,10.0,10.0,f,f,1,f,f,5.63,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,1,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11,3781780,2014-08-03,70%,100%,f,1,1,"['email', 'phone', 'facebook', 'reviews', 'jumio']",t,Asheville,35.5758864819,-82.5896747024,t,2,2,1.0,1.0,1.0,45.0,0.0,0.0,2.66666666667,0.666666666667,1,$0.00,2,1125,30,60,90,365,40,2014-08-18,2016-04-10,9.5,10.0,10.0,10.0,10.0,10.0,10.0,f,f,2,f,f,1.95,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
